review,sentiment
movie start bunch dead men walking peep sitting individual cell waiting inevitable meeting death represented electrical chair br br hero called tenshu taken chair zapped still alive aha given choice creepy military guy look really cool either zap made sure actually dead walk door take whatever destiny might lie ahead hero say yes option actual story commences br br wake different sort cell high tech big find another cell mate also managed survive electric boogie ride voice speaker tell free whatever wish long happens within room sound little suspicious two men accept else br br two men know set together awaken inner urge kill within basically unknown scientist background p decide kill sound weird indeed greater purpose part revealed shall remain unrevealed br br fear unknown lure viewer watch pseudo action movie fore entirely different approach question long time stand man b would kill obtain freedom br br first hour basically trying awaken interest sneak without actually knowing becomes roller coaster ride wild matrix like action fight scene touch individuality honor comic book movie based upon br br movie indeed special special normal cinema view normal circumstance however story fascinating music fantastic actor bit others make movie truly unique br br fortunate cinema video store watch enjoy fact everyone trying make mainstream movie earn huge bunch cash br br,1
sleepless night switching channel found embarrassment movie thinking br br life remote control kari wuhrer salin wonder gone nowhere br br david keith take role pathetic br br anyway turned movie near end get much plot must best part nerdy college kid brings home dominatrix ish girl scene straight comic book cheap porn movie call mother anal retentive kiss father oh expect tongue great line br br see ended br br well course bitch hell helluva past swat team upstairs yes surround yes yes kid blow brain ahahhahahaha br br must see tv br br,0
karen sarah michelle gellar exchange student japan beginning social work sent aid elderly semi catatonic woman emma grace zabriskie previous caretaker yoko yoko maki disappears karen soon learns something right emma home attempt see deep rabbit hole go br br maybe delayed influence success night shyamalan film slower paced understated horror film recent trend case hide seek approach work remarkably well others white noise pacing tends kill film like grudge quite much hide seek still good film earns br br grudge couple significant difference recent example trend however one well known remake based japanese film series began ju particular extremely close first half ju grudge aka ju two many japanese horror film slower pacing much realm realist drama surrealism also case large percentage european horror grudge looked filmed nightmare br br director takashi shimizu also director five japanese entry ju series date fifth currently production writer stephen susco largely dispensed linearity overly concerned logic plot hole come horror behind story idea instead present dreamlike sequence scene dream logic focus atmosphere creepiness uncanny many viewer scare well film work largely depend well adapt used different approach film making although admittedly seeming gap filled previous entry ju series traditionally american audience consider flaw leaving plot thread hanging abandoning rule monster poetic metaphorical surreal approach film yet accepted mainstream u br br however even used worth trying suspend normal preconception film give grudge shot well written well directed well acted film filled unusual property story interweaving large number main character done better episodic ju good cinematography subtle production design touch check gellar clothes match color texture exterior emma house gellar first approach beautifully effective horror material br br even though slowly paced average horror film past pacing usually enhances eeriness shortage bizarre event keep horror fan entertained supernatural premise film absorbing based interview dvd shimizu prodded pay attention japanese belief folklore although interesting subtexts would probably arise intimate knowledge japanese culture interesting ponder many japanese horror film feature scary child adult look like scary child br br subtracted one point film slightly veering clichéd mystery thriller territory really happened flashback even fairly well done otherwise would br br said let finish mini rant anti remake ridiculous u distributor studio feel need remake foreign film make appropriate consumption original version film playing u theater wide release need present almost identical film substituting white american actor non white foreign actor yes grudge fine film ultimately rather see something original using talent treated latest foreign horror film japanese also indian spanish chinese etc multiplex hope someone pull studio read also cost effective completely avoid production cost simply make domestic distribution deal receive profit make money fan like otherwise pick foreign film dvd foreign manufactured even bootleg version,1
poor film must give lead actress one francine forbes appeared acting least personally thought kind cute bad appears one film database besides film filled laughable gore fakey death scene people get stabbed gush like gallon blood like watch poor horror film recommend one highly,0
wife thought film watered made tv bbc version manhattan murder mystery good great story little inter character tension chemistry much plot woody allen character sort wanders around running mouth hugh jackman scarlett johannsson lot pretty disappointing must say ian mcshane role expanded cameo appearance br br first thing occurred wonder much bbc pay woody allen dislodge manhatttan must needed money must needed appeal expand audience beyond youth market drawn two star giving movie star instead unbothersome background noise ever want something knitting sorting stamp collection job pay rent,0
directed diane keaton adapted book franz lidz young mother selma lidz andie macdowell battling serious illness self proclaimed inventor husband sid john tururro little lacking emotion department unhappy new home situation sensitive son steven nathan watt decides want stay two eccentric uncle danny michael richards melvin lou cutell mom well steven seems happier even take interest strange uncle living habit even decides want change name franz set early drama bit comedic change zany macdowell fan unstrung hero assures attitude albeit enjoyed film total waste,0
soldier great movie everyone hated plenty good reason liked soldier alot partly expectation low saw surprised br br first art direction tight well executed far science fiction backdrop go soldier thing design genre set costume prop consistent competently executed love future military style impressed effort made movie worth time took watch br br second kurt russell fan grew watching guy memorable movie youth barefoot executive john carpenter film soldier essentially action movie role sergeant todd essential action hero award winning role kurt muster convincing emotion little dialog br br third fight scene battle well choreographed iron monkey even matrix far exceeds average level quality genre br br seen like sci fi action film pick pas rental depot choice expect next bladerunner,1
principally story two men part portuguese revolution easy understand contest usually director start historical fact speak something else show also period fact everything happen couple day revolution act could also seen kind documentary movie focalize two people showing normal like common hero revolution come people although made military army title understand capitaes main character nice color light whole movie excellent work director first movie fall banal way well shown emotion passion people crowd character maia main one well made also good interpretation stefano accorsi able show maia limit hero,1
thhe entertaining laugh lot cringe probably say oh sh get face away goddamn hole dumb thing along line know really worth seeing annoyed throughout entirety horrible military character seem know first thing combat br br yes violence gore higher body count first one still debating whether cancel feeling throughout whole movie ridiculous good ridiculousness like dead alive feast time would better spent watching aja remake th time br br go laugh go gore go hoping come satisfied,0
temp much theatrical business direct video rip want anyway ellen bradford mel harris new woman millennium investment high scale brokerage firm start getting helpful hint wide eyed secretary deidre sheila kelley deidre turn ambitious daddy girl stop nothing move corporate ladder including screwing top broker stand murdering anyone get bad side dig skeleton ellen closet try cause problem husband barry bostwick kill making look like responsible kidnaps daughter try get embezzle money company br br harris kelley deliver competent performance supporting cast alright reasonably well put together fully compensate script travel well worn path offer surprise,0
hired dvd yesterday first started bad aspect ratio film keep getting worse acting bad movie way predictable like watching movie said going happen next guess happened right br br want see good action boxing movie watch one end disappointed low budget movie like go see ali way better,0
holy movie still warm juicy pile made tried watch pile festering waste found easier slash wrist slug back shooter lysol floor cleaner endure half crap screen rank well anything ever watched film tv thats saying something witnessed cow crap field watched steaming pile hour half know might moved something well time better spent watching tripe acting non existent plot somewhere film think saw cut seen early plot managed escape riding background back old pickup truck heading portland hope becoming steven king shier please tell director getting medication desperately need pretty clear need heavy medication willing front money needed lobotomy reversal bah give review full punch need nothing painful ever done justice typed word alone let say looking flick pas time see chilton rack walk car start engine shove fist straight fan feel bone vibrate anymore sure wallet hand also going waste cash anyway might well privilege wasting br br way watched buddy mine sent girlfriend could see dint come whats worse watch thing twice heard married get visit ball month hope film,0
first saw movie younger child sister told thought would kid movie however remains also incredible movie true subject behind movie ruff also true movie never stop touching heart br br first saw yesterday year later saw first time long time even knew ended knew seen billion bizillion time wept like teeny weeny little baby saw year back finally got idea seriousness film stoped watching yesterday change channel watched end astonished much still made laugh cry think believe mericals belived long time movie got shell opened heart movie impacting also impressed actor especially bobby wanting see movie first time suggest seeing alone tissue ready discover young sweet innocent side side still hope movie touched soul even time trying figure movie helped realize still want life,1
oliver stone one shy away movie theme matter eager confront people fear show ugly face mirror look cv proof movie exception quite contrary another gem unfortunately many seen br br controversial movie go one thankful movie encourage think people next prejudice exist everyone u one form another either like admit easier categorize people like ah xyz yeah must like might reading much believe believe oliver stone intelligent filmmaker aiming thing something want explore movie within watch film excited,1
know many people automatically given film rating huge budget top line special effect used however knew getting popped vcr br br think get much low budget unless filming family reunion lighting awful sound quality time incomprehensible acting ultra bad almost involved still fun movie plot interesting enough center around fellow named tom russo asbestos felt luck job protective wife allow work putting even pressure begin working hour see slowly transcend madness obsession becomes suspicious wife cheating begin brutally murder various men repair guy feel responsible br br must say gore effect extremely cheap fit overall tone film brutal way tom russo come murder men give u idea mad become pacing film also good rarely boring moment ending really follow rest plot film seems want go psycho slasher film dawn dead wannabe entertaining nonetheless must give tim ritter credit wanting use unconventional ending br br honestly say enjoyed film mean good film make sense budget main stumbling block consequence almost much overlook recommend people totally spoiled big budget movie open mind ultra low budget film simply enjoy others fan gore say give shot find least something redeeming br br grade,0
movie seriously awful acting worst worse student film super cheesy think worst actor old lady first thought well old movie remembered excuse seen older movie way better acting br br music terrible really choppy editing poor dialog sync br br overall movie even deserve watched bored movie hardly entertained laughable dead grandmother left pinkie toe could make better movie,0
screenwriter director intended open heart movie musician wanted music succeeded commonplace human situation became original personal immediate personally felt touched situation believe would credit power music combined point view person writing movie without spoiling say moved movie approach living actually cried joy empathy deep emotion long time would love find way show others saw seattle international film festival,1
ridiculous comedy given arm flailing direction love one comment made today well neither could philadelphia story without car chase two nonetheless mean picture worse wear old fashioned think susan slept good generation fester peacefully memory debbie reynolds buff sparkle story screenwriter latch onto much younger girl script research dick powell make farewell screen appearance must embarrassment reynolds pallid produced one harriet parson give famous mother louella number inane plug,0
best picture baseball since redford whacked natural way dennis quaid rachel griffith light screen great story cast seemed real enough pull life br br laced dream dripping reality american dream reignites true story devil ray mid life rookie jimmy morris australian born actress rachel griffith play native west texan better lot texan know dennis quaid perfection cast wannabe gonnabe humble winner much psychological baggage average viewer audience real screen chemistry work like baseball heart warmer going love film ingredient americana apple pie popcorn became a la mode br br hey buy cd music rock carry story magnificently syncing word music push story forward exactly way area disappoints often br br criticism given baseball somebody else quaid something teach u character heart st rita nun nice decoration never really found place story open close around little long worth every minute last analysis br br,1
